"DocCode","TypeCode","DocName","Category","Bytes","RptHash"
"IGN10003","IGN1","2.Goods Receipt_ใบรับสินค้า_(Batch&Serial)","C","84480","FACDE11ED36A8B988193FF0C5BA3CA29"
"IGN20001","IGN2","Receipt from Production (System)","P","",""
"IGN20002","IGN2","1.Receipt from Production_ใบรับสินค้าจากการผลิต","C","87552","A7D47ACE1E8CFEB886C0F906C5497193"
"IGN20003","IGN2","2.Receipt from Production_ใบรับสินค้าจากการผลิต_(Batch&Serial)","C","111104","ED30A1D50DFF673AF3331C7D014A8187"
"INB10001","INB1","AR Bill (Service) (System)","P","",""
"INB20001","INB2","AR Bill (Items) (System)","P","",""
"INB30001","INB3","AR Bill (Document Summary) (System)","P","",""
"INC10001","INC1","Inventory Counting - CR (System)","C","118784","B4F71DA07871D3C83777EE10D3208C07"
"INC10002","INC1","1.Inventory Counting_ใบตรวจนับสินค้า_Befor","C","78336","23C54C64508B3A0488A9F438F482E818"
"INC10003","INC1","2.Inventory Counting_ใบหลังตรวจนับสินค้า_After","C","79872","43A18A6D09011051AB5E22A6AA14956E"
"INE10001","INE1","AR Export Invoice (Service) (System)","P","",""
"INE20001","INE2","AR Export Invoice (Items) (System)","P","",""
"INE30001","INE3","AR Export Invoice (Document Summary) (System)","P","",""
"INM10001","INM1","Stocktaking (System)","P","",""
"INM10002","INM1","Stocktaking Report - CR (GB) (System)","C","65536","92F200ADC9055D8A47A5A0DBC2AF9A21"
"INM20001","INM2","Stocktaking Update (System)","P","",""
"INR10001","INR1","Stock Valuation (System)","P","",""
"INR20001","INR2","Stock Valuation (System)","P","",""
"INR30001","INR3","Stock Valuation Report (System)","P","",""
"INR30002","INR3","Stock Valuation Report Simulation Report (by Items) - CR (System)","C","69120","709FD97B86C9A14B67E0404AB2D68D6C"
"INR30003","INR3","Stock Valuation Report (EhP) (System)","P","",""
"INS10001","INS1","Customer Equipment Card Report (System)","P","",""
"INV10001","INV1","Invoice (System)","P","",""
"INV10002","INV1","AR Invoice (Service) - CR (GB) (System)","C","416256","836833BD2C218A583DD891EAC6B0A48C"
"INV10003","INV1","Invoice_Service UK (System)","P","",""
"INV10005","INV1","VAT Only Invoice (System)","P","",""
"INV10007","INV1","Invoice (DIN) (System)","P","",""
"INV20001","INV2","Invoice_Item Type and Details (System)","P","",""
"INV20002","INV2","Packing List - CR (GB) (System)","C","146944","4CF524B9683D53B81C476434575E818A"
"INV20003","INV2","AR Invoice (System)","P","",""
"INV20004","INV2","AR Invoice (Item) - CR (GB) (System)","C","476160","CFDACE36D9F72B4C5B49E1C87BAA3785"
"INV20005","INV2","Invoice Master Template (System)","P","",""
"INV20006","INV2","1.A/R Invoice_ใบแจ้งหนี้","C","100864","4603894C03AABE18B61ABAABBAF08FD7"
"INV20007","INV2","VAT Only Invoice (System)","P","",""
"INV20008","INV2","2.A/R Invoice_ใบแจ้งหนี้_(Dis)","C","90112","32117CAF5F3908C3A5BBE03713C19FF1"
"INV20009","INV2","Invoice (DIN) (System)","P","",""
"INV20010","INV2","3.Tax Invoice_ใบกำกับภาษี","C","97792","B1782EDE58081D9AE77801362FB10C38"
"INV20011","INV2","Invoice Including Batch/SN (System)","P","",""
"INV20012","INV2","4.A/R Invoice/Tax Invoice_ใบแจ้งหนี้/ใบกำกับภาษี","C","97792","28CE25AF7E10818B2E67EB42EEDDFB18"
"INV20013","INV2","5.Delivery/Tax Invoice_ใบส่งของ/ใบกำกับภาษี_(Batch&Serial)","C","113664","CC4DA10ECA98D14DB9B08233E28B3718"
"INV20014","INV2","6.A/R Invoice/Delivery/Tax Invoice_ใบส่งของ/ใบแจ้งหนี้/ใบกำกับภาษี","C","91136","88761361BC63778095C8D945DCA3193C"
"INV20015","INV2","7.Delivery/A/R Invoice/Tax Invoice_ใบส่งของ/ใบแจ้งหนี้/ใบกำกับภาษี_(Batch&Serial)","C","113664","2C60EC836896FDFD9577ED79EFA25E13"
"INV20016","INV2","8.A/R Debit Note_ใบเพิ่มหนี้","C","98304","27B38494CA96394792074BB10E800F61"
"INV30001","INV3","Invoice (System)","P","",""
"INV90001","INV9","SEPA direct debit prenotification - CR (System)","C","88576","7ABEB685AC5A3AA946510E6FE0426216"
"IPF10001","IPF1","Landed Costs (System)","P","",""
"IPF10002","IPF1","1.Landed Costs_ใบปรับราคาต้นทุนสินค้า","C","92160","F236884E2542D533451309D85FFF1301"
"IPF20001","IPF2","Landed Costs Details (System)","P","",""
"IQI10001","IQI1","Inventory Opening Balance - CR (System)","C","72704","8972AD6F20537E5C922EE57465D6075F"
"IQR10001","IQR1","Inventory Posting - CR (System)","C","73216","B23613312310CDD06E641DBB5FA37249"
"IRA10001","IRA1","Stock Counting Risk Assessment Report - CR (System)","C","61440","73CAF2C028843CAFE5DBD3A6256299C5"
"ITK10001","ITK1","Stock Counting Transactions Report - CR (System)","C","133632","F4800602A8F28500A25F91FA0E85A652"
"ITL10001","ITL1","Stock Posting List (System)","P","",""
"ITL20001","ITL2","Stock Posting List (System)","P","",""
"ITL30001","ITL3","Stock Posting List (System)","P","",""
"ITM10001","ITM1","Items Index (System)","P","",""
"ITM20001","ITM2","Price Lists (System)","P","",""
"ITM30001","ITM3","Inactive Items (System)","P","",""
"ITM40001","ITM4","Stock Status (System)","P","",""
"ITM40002","ITM4","Stock Status - CR (GB) (System)","C","68096","76530CE99DCFAAEB1D7DDC97DCCFECF2"
"ITM40003","ITM4","Stock Status  (EhP) (System)","P","",""
"ITM50001","ITM5","ATP Report (System)","P","",""
"ITM50003","ITM5","ATP Report (EhP) (System)","P","",""
"ITR10001","ITR1","Unreconciled Transactions - Internal (System)","P","",""
"ITR20001","ITR2","Reconciled Transactions - Internal (System)","P","",""
"ITT10001","ITT1","Bill of Materials (System)","P","",""
"ITT10003","ITT1","Bill of Materials  (EhP) (System)","P","",""
"ITT20001","ITT2","Bill of Materials Report (System)","P","",""
"ITT20003","ITT2","Bill of Materials Report  (EhP) (System)","P","",""
"ITW10001","ITW1","Stock in Warehouse Report (System)","P","",""
"ITW20001","ITW2","Stock in Warehouse Report (Detailed) (System)","P","",""
"JDT10001","JDT1","Journal Voucher (System)","P","",""
"JDT20001","JDT2","Journal Entry (System)","P","",""
"JDT20002","JDT2","1.Journal Entry_ใบบันทึกรายการบัญชี","C","76800","D2AA5209D0C494E958247031762C9D1F"
"JDT30001","JDT3","Unreconciled Transactions (System)","P","",""
"JDT30003","JDT3","Expanded Unreconciled Transactions (System)","P","",""
"JDT40001","JDT4","Transaction Journal (System)","P","",""
"JDT40002","JDT4","Transaction Journal - CR (GB) (System)","C","69120","2AC7A2EA6530E780F1134F5E97371D02"
"JDT40003","JDT4","Transaction Journal  (EhP) (System)","P","",""
"JDT50001","JDT5","Account Balance (System)","P","",""
"JDT70001","JDT7","Document Journal (System)","P","",""
"JDT70002","JDT7","Document Journal - CR (GB) (System)","C","74752","DDFFC16DE503153DB1DAD3789B56FEB8"
"JDT70003","JDT7","Document Journal (EhP) (System)","P","",""
"JDT80001","JDT8","Document Journal (System)","P","",""
"JDT80003","JDT8","Document Journal  (EhP) (System)","P","",""
"JVC10001","JVC1","General Journal Voucher Report (System)","P","",""
"LDG10001","LDG1","General Ledger (System)","P","",""
"LDG10002","LDG1","General Ledger - CR (GB) (System)","C","74752","76936C16FE9E8895167AF152A65116AB"
"LDG10003","LDG1","General Ledger  (EhP) (System)","P","",""
"LDG20001","LDG2","Expanded Ledger (System)","P","",""
"LDG20003","LDG2","General Ledger by Due Date (System)","P","",""
"LDG20005","LDG2","General Ledger by Posting Date (System)","P","",""
"LDG20007","LDG2","General Ledger (Totals only) (System)","P","",""
"LDG20009","LDG2","General Ledger for All Currencies BP (System)","P","",""
"LDG20011","LDG2","General Ledger by Control Account (System)","P","",""
"LDG20013","LDG2","General Ledger by Posting Date  (EhP) (System)","P","",""
"LDG20015","LDG2","General Ledger for All Curr. BP (EhP) (System)","P","",""
"LDG20017","LDG2","Expanded Ledger (EhP) (System)","P","",""
"LDG20019","LDG2","General Ledger (Totals Only)  (EhP) (System)","P","",""
"LDG20021","LDG2","General Ledger by Due Date  (EhP) (System)","P","",""
"LDG20023","LDG2","General Ledger by Control Account  (EhP) (System)","P","",""
"MDC10001","MDC1","Master Data Cleanup Recommendation Report - CR (System)","C","60416","130686C6419A25427D4A9B30985A29D7"
"MDC20001","MDC2","Master Data Cleanup Summary Report - CR (System)","C","57344","CFC8116D46982A17FFF63810E2F8D449"
"MDC30001","MDC3","Master Data Cleanup Error Log Report - CR (System)","C","54784","F47F43CB1396F2CE3C7DC4C438FCEAA3"
"MRV10001","MRV1","Stock Revaluation (System)","P","",""
"MRV10002","MRV1","1.Inventory Revaluation_ใบปรับมูลค่า_Price","C","79872","F2031286FBE7680C338A1714C94C0FA1"
"MRV10003","MRV1","2.Inventory Revaluation_ใบปรับมูลค่า_Debit/Credit","C","81408","94FDEF65E5D400738127498536EAE978"
"MTH10001","MTH1","Reconciled Transactions (System)","P","",""
"MTH20001","MTH2","Balancing Transactions (System)","P","",""
"MTH30001","MTH3","Reconciliation Management (System)","P","",""
"NOB10001","NOB1","Messages (System)","P","",""
"NOB50001","NOB5","Confirmation Report (System)","P","",""
"OAHS0001","OAHS","Asset History Sheet (System)","P","",""
"OAHS0002","OAHS","Asset History Sheet Report - CR (System)","C","71168","AC9AF1A8083D49EE9D3DFEE27DE740C0"
"OAT10001","OAT1","Blanket Agreement - CR (System)","C","99840","F108B625E4EA31382F2525FD9D5FF769"
"OAT70001","OAT7","Blanket Agreements List - CR (System)","C","65024","DD3A9DE8E26C212AA53752AFB2893C0A"
"OP100001","OP10","Opportunities - Lost (System)","P","",""
"OP110001","OP11","Opportunity Source Distribution (System)","P","",""
"OP120001","OP12","Opportunities List (System)","P","",""
"OP130001","OP13","Opportunities Statistics (System)","P","",""
"OP140001","OP14","Opportunities Forecast Over Time (System)","P","",""
"OP150001","OP15","Opportunity Statistics - One Group (System)","P","",""
"OPR10001","OPR1","Opportunity (System)","P","",""
"OPR20001","OPR2","Opportunities Won (System)","P","",""
"OPR30001","OPR3","Opportunity Analysis (System)","P","",""
"OPR40001","OPR4","Opportunity Analysis - Group Display (System)","P","",""
"OPR50001","OPR5","Opportunity Analysis (System)","P","",""
"OPR60001","OPR6","Opportunity List (System)","P","",""
"OPR70001","OPR7","Stages Analysis Report (System)","P","",""
"OPR80001","OPR8","Stage Analysis Report (Detailed) (System)","P","",""
"OPR90001","OPR9","Opportunities Forecast (System)","P","",""
"PCH10001","PCH1","AP Invoice (System)","P","",""
"PCH10003","PCH1","Invoice (DIN) (System)","P","",""
"PCH20001","PCH2","AP Invoice (System)","P","",""
"PCH20002","PCH2","1.A/P Invoice_ใบแจ้งหนี้","C","97280","5503806A29C25CC4F798CC9A5A8A1119"
"PCH20003","PCH2","Invoice (DIN) (System)","P","",""
"PCH20004","PCH2","2.A/P Invoice_ใบแจ้งหนี้_(Batch&Serial)","C","115200","8AF2862C6E757F70E2C415C315AFCBA9"
"PCH20005","PCH2","3.A/P Invoice/Tax Invoice_ใบแจ้งหนี้/ใบกำกับภาษี","C","90624","B69CE2BF1F23527DC487BF97F22FDE3F"
"PCH20006","PCH2","4.A/P Debit Note_ใบเพิ่มหนี้","C","90624","7D17CDC6013C0658CFF787DA8CA99E90"
"PCH30001","PCH3","AP Invoice (System)","P","",""
"PDM10001","PDM1","AP Debit Note (System)","P","",""
"PDM20001","PDM2","AP Debit Note (System)","P","",""
"PDM30001","PDM3","AP Debit Note (System)","P","",""
"PDN10001","PDN1","Goods Receipt PO (System)","P","",""
"PDN10003","PDN1","Goods Receipt PO (DIN) (System)","P","",""
"PDN20001","PDN2","Goods Receipt PO (System)","P","",""
"PDN20002","PDN2","1.Goods Receive PO_ใบรับสินค้า","C","96768","D54DBB9D010B97CC66597CA7FFF17E01"
"PDN20003","PDN2","Goods Receipt PO (DIN) (System)","P","",""
"PDN20004","PDN2","2.Goods Receive PO_ใบรับสินค้า_(Batch&Serial)","C","108544","505743A6CFB4BC212D3961F2616CDEB2"
"PDN30001","PDN3","Goods Receipt PO (System)","P","",""
"PJT10001","PJT1","Implementation Project Print Layout (System)","C","59904","D0DE8FB27F04D5EF4EBD42B154CDB16B"
"PKG10001","PKG1","AR Packaging (Items) (System)","P","",""
"PKG10002","PKG1","Packing List - CR (GB) (System)","C","146944","270884E3E4F20C309E34702DE88C1548"
"PLN10001","PLN1","Price Report - CR (System)","C","27136","CDFCAADBEF54E1D45A6334B3096CB534"
"PLR10001","PLR1","Purchase Ledger Report (System)","P","",""
"POR10001","POR1","Purchase Order (System)","P","",""
"POR10002","POR1","AP Purchase Order (Service) - CR (GB) (System)","C","228864","126786347734B6ABC181D2ED76770652"
"POR10003","POR1","Purchase Order (DIN) (System)","P","",""
"POR20001","POR2","Purchase Order (System)","P","",""
"POR20002","POR2","AP Purchase Order (Item) - CR (GB) (System)","C","224256","2F6FDFF371D484F3854B567CD162E5C2"
"POR20003","POR2","Purchase Order (DIN) (System)","P","",""
"POR20004","POR2","1.Purchase Order_ใบสั่งซื้อ","C","102912","D521B54873CF269FD2E77739FEF1CDBF"
"POR30001","POR3","Purchase Order (System)","P","",""
"PPAC0001","PPAC","Preliminary Page - Accounting (System)","P","",""
"PPBK0001","PPBK","Preliminary Page - Banking (System)","P","",""
"PPFI0001","PPFI","Preliminary Page - Financial (System)","P","",""
"PPIN0001","PPIN","Preliminary Page - Stock (System)","P","",""
"PPTX0001","PPTX","Preliminary Page - Tax (System)","P","",""
"PQT10001","PQT1","AP Purchase Quotation (Service) - CR (System)","C","152064","362546087009A7A12DA182C115414625"
"PQT20001","PQT2","AP Purchase Quotation  (Items)- CR (System)","C","169984","21E099DF4174C9E06E935117B47AF81D"
"PQT20002","PQT2","1.Purchase Quotation_ใบเสนอราคาซื้อ","C","96768","523384D8C00E09690EFAEE004A11D940"
"PQT30001","PQT3","AP Purchase Quotation (Document Summary) - CR (System)","C","61952","FC7ED8F01C027109D90A87BF7E01BF3A"
"PRC10001","PRC1","Cost Centre Report by Distribution Rules (System)","P","",""
"PRC20001","PRC2","Cost Centre Report by Linked Accounts (System)","P","",""
"PRC30001","PRC3","Distribution Report (System)","P","",""
"PRC30002","PRC3","Distribution Report - CR (System)","C","70144","EE714901A0B7A4B98F254ACC5E150E95"
"PRC40001","PRC4","Cost Accounting Summary Report (System)","P","",""
"PRC40002","PRC4","Cost Accounting Summary Report - CR (System)","C","68608","364C618A427F1F05B7DC47A2F45C5D56"
"PRC50001","PRC5","Budget Versus Cost Accounting Report (System)","P","",""
"PRC50002","PRC5","Budget Versus Cost Accounting - CR (System)","C","61952","4420D33E27D2BAFF06934384843B73D8"
"PRC60001","PRC6","Cost Accounting Reconciliation Report (System)","P","",""
"PRC60002","PRC6","Cost Accounting Reconciliation Report - CR (System)","C","65536","BF9AA05EE03824B00E79A2BA270421DF"
"PRJ10001","PRJ1","Transaction Report by Projects (System)","P","",""
"PRM10001","PRM1","General Authorizations - CR (System)","C","72704","3DE34BA0D68345FBD51A162370701251"
"PRN10001","PRN1","Purchase Analysis - Single (System)","P","",""
"PRN20001","PRN2","Purchase Analysis (System)","P","",""
"PRN30001","PRN3","Monthly Purchase Analysis Report (System)","P","",""
"PRQ10001","PRQ1","AP Purchase Request (Service) - CR (System)","C","158720","0009E7D5F8FE19731AE6643D8B570F13"
"PRQ20001","PRQ2","AP Purchase Request (Items)- CR (System)","C","176128","181033D02048935AEC9E53D3FFAEB633"
"PRQ20002","PRQ2","1.Purchase Request _ใบขอซื้อ","C","94720","733A859DEFE51CFCB75A0A02B4BCDE7C"
"PRR20001","PRR2","Purchase Returns Request (Item) - CR (US) (System)","C","264704","A3CD1302431105D8CB563B2DE1FDB0CF"
"PTU10001","PTU1","Input VAT Report - CEE (System)","P","",""
"PTU20001","PTU2","Output VAT Report (System) - CEE (System)","P","",""
"PWZ00001","PWZ0","Payment Wizard Recommendation Report (System)","P","",""
"PWZ00002","PWZ0","Payment Wizard Recommendation Report - CR (GB) (System)","C","80384","836BE1550F77EE80BE43BB5893B2859F"
"PWZ10001","PWZ1","Country/Region Summary Report (System)","P","",""
"PWZ20001","PWZ2","Currency Summary Report (System)","P","",""
"PWZ30001","PWZ3","Payment Method Summary Report (System)","P","",""
"PWZ40001","PWZ4","Bank Account Summary Report (System)","P","",""
"PWZ50001","PWZ5","Cheques Summary Report (System)","P","",""
"PWZ60001","PWZ6","Bank Transfer Summary Report (System)","P","",""
"PWZ70001","PWZ7","Error Log Report (System)","P","",""
"PWZ80001","PWZ8","BP Summary Report (System)","P","",""
"PWZ90001","PWZ9","Bill of Exchange Summary Report (Sys) (System)","P","",""
"QUT10001","QUT1","Sales Quotation (System)","P","",""
"QUT10002","QUT1","AR Sales Quotation (Service) - CR (GB) (System)","C","150528","A491304EF724A12176EF6A4685CFC0CF"
"QUT10003","QUT1","Sales Quotation (DIN) (System)","P","",""
"QUT20001","QUT2","Quotation Master Template (System)","P","",""
"QUT20002","QUT2","AR Sales Quotation (Item) - CR (GB) (System)","C","168960","0C5E92D20B3D9B9E4EAD1EBCA2FE160F"
"QUT20003","QUT2","Sales Quotation (System)","P","",""
"QUT20004","QUT2","1.Sale Quotation_ใบเสนอราคาขาย","C","78848","01D0D3063C7A3873C553E797B5633A6E"
"QUT20005","QUT2","Sales Quotation - Type and Details (System)","P","",""
"QUT20006","QUT2","2.Sale Quotation_ใบเสนอราคาขาย_(Dis)","C","90112","E1ADE02A7211E8E0DC3CA631AA707246"
"QUT20007","QUT2","Sales Quotation (DIN) (System)","P","",""
"QUT20008","QUT2","3.Sale Quotation_ใบเสนอราคาขาย(BOM)","C","90112","224F7743A20AB1C9AA2A113B56160924"
"QUT30001","QUT3","Sales Quotation (System)","P","",""
"R8560001","R856","Bank Statement Report (System)","P","",""
"R8560003","R856","Preliminary Page - Banking (System)","P","",""
"RB010001","RB01","Tax Register Book (System)","P","",""
